task_id,title,epic_id,feature_id,story_id,subsystem,description,reason,source_finding_ids,implementation_boundaries,likely_files,dependency_ids,prerequisite_decisions,acceptance_criteria,tests_required,documentation_required,security_impact,scientific_impact,data_migration_impact,rollout_requirement,rollback_requirement,priority,severity,effort,confidence,status,release_stage,sprint_id,milestone_id,blocked_by_external,owner_type,completion_evidence,created_date,updated_date
"AVA-0011","Backup restore and rollback rehearsal","AVA-EPIC-011","AVA-FEAT-011","AVA-STORY-011","DR","Implement and verify backup restore and rollback rehearsal without replacing working systems.","Audited S1/P0 finding AVA-011.","AVA-011","Preserve canonical architecture; no unrelated scope expansion.","See feature-specific audit and repository inventory","AVA-0002;AVA-0004","","Timed restore/RPO/RTO evidence","Relevant unit/contract tests;Integration or environment evidence required by definition of complete","Update tracker evidence and affected runbook/architecture document","Review","None","None","Feature flag or staged rollout when behavior changes","Document rollback before deployment","P0","S1","M","Medium","Blocked","Staging","SPRINT-02","M1","true","DevOps or Platform Engineer","2026-07-18 Sprint 02: authoritative restore runbook reviewed; no managed backup or isolated restore target exists, so RPO/RTO remain unproved","2026-07-18","2026-07-18"
"AVA-0012","End-to-end deletion/export","AVA-EPIC-010","AVA-FEAT-012","AVA-STORY-012","Privacy","Implement and verify end-to-end deletion/export without replacing working systems.","Audited S0/P0 finding AVA-012.","AVA-012","Preserve canonical architecture; no unrelated scope expansion.","See feature-specific audit and repository inventory","AVA-0004;AVA-0006","","DB/storage/derived erasure proven","Relevant unit/contract tests;Integration or environment evidence required by definition of complete","Update tracker evidence and affected runbook/architecture document","Direct","None","None","Feature flag or staged rollout when behavior changes","Document rollback before deployment","P0","S0","L","Medium","In Progress","Closed beta","SPRINT-03","M6","false","Security Engineer","2026-07-18 Sprint 03: deletion contracts pass; export and staging DB/storage/derived erasure remain unproved","2026-07-18","2026-07-18"
"AVA-0013","Distributed rate/upload admission","AVA-EPIC-011","AVA-FEAT-013","AVA-STORY-013","Security","Implement and verify distributed rate/upload admission without replacing working systems.","Audited S1/P0 finding AVA-013.","AVA-013","Preserve canonical architecture; no unrelated scope expansion.","See feature-specific audit and repository inventory","AVA-0002","","Abuse/load tests pass","Relevant unit/contract tests;Integration or environment evidence required by definition of complete","Update tracker evidence and affected runbook/architecture document","Direct","None","None","Feature flag or staged rollout when behavior changes","Document rollback before deployment","P0","S1","M","Medium","Blocked","Staging","SPRINT-02","M1","true","DevOps or Platform Engineer","2026-07-18 Sprint 02: local upload validation passed; no distributed staging runtime/store exists for abuse or load proof","2026-07-18","2026-07-18"
"AVA-0014","Consent/reference dataset collection","AVA-EPIC-006","AVA-FEAT-014","AVA-STORY-014","Science","Implement and verify consent/reference dataset collection without replacing working systems.","Audited S1/P0 finding AVA-014.","AVA-014","Preserve canonical architecture; no unrelated scope expansion.","See feature-specific audit and repository inventory","","Protocol/review","Eligible locked 60/120/240 cohort","Relevant unit/contract tests;Integration or environment evidence required by definition of complete","Update tracker evidence and affected runbook/architecture document","Review","Direct","None","Feature flag or staged rollout when behavior changes","Document rollback before deployment","P0","S1","XL","Medium","Blocked","Scientific beta","SPRINT-07","M3","true","Data or Scientific Engineer","","2026-07-18","2026-07-18"
"AVA-0015","Metric reference validation","AVA-EPIC-006","AVA-FEAT-015","AVA-STORY-015","Science","Implement and verify metric reference validation without replacing working systems.","Audited S0/P0 finding AVA-015.","AVA-015","Preserve canonical architecture; no unrelated scope expansion.","See feature-specific audit and repository inventory","AVA-0014","","Error/CI targets satisfied","Relevant unit/contract tests;Integration or environment evidence required by definition of complete","Update tracker evidence and affected runbook/architecture document","Review","Direct","None","Feature flag or staged rollout when behavior changes","Document rollback before deployment","P0","S0","XL","Medium","Blocked","Scientific beta","SPRINT-07","M3","true","Data or Scientific Engineer","","2026-07-18","2026-07-18"
"AVA-0016","Enforce claims registry in presentation","AVA-EPIC-006","AVA-FEAT-016","AVA-STORY-016","Safety","Implement and verify enforce claims registry in presentation without replacing working systems.","Audited S1/P0 finding AVA-016.","AVA-016","Preserve canonical architecture; no unrelated scope expansion.","See feature-specific audit and repository inventory","AVA-0015","","Unvalidated outputs withheld","Relevant unit/contract tests;Integration or environment evidence required by definition of complete","Update tracker evidence and affected runbook/architecture document","Review","None","None","Feature flag or staged rollout when behavior changes","Document rollback before deployment","P0","S1","M","Medium","In Progress","Scientific beta","SPRINT-03","M3","false","Data or Scientific Engineer","2026-07-18 Sprint 03: local result allowlist withholds unsupported metrics; AVA-0015 remains required","2026-07-18","2026-07-18"
"AVA-0017","Immutable report read path","AVA-EPIC-002","AVA-FEAT-017","AVA-STORY-017","Reports","Implement and verify immutable report read path without replacing working systems.","Audited S1/P0 finding AVA-017.","AVA-017","Preserve canonical architecture; no unrelated scope expansion.","See feature-specific audit and repository inventory","AVA-0009","","Web/native use same activated version","Relevant unit/contract tests;Integration or environment evidence required by definition of complete","Update tracker evidence and affected runbook/architecture document","Review","Direct","None","Feature flag or staged rollout when behavior changes","Document rollback before deployment","P0","S1","L","Medium","In Progress","Native vertical slice","SPRINT-03","M2","false","Backend Engineer","2026-07-18 Sprint 03: safe-result route and Swift decoding pass; hosted worker and canonical equivalence remain required","2026-07-18","2026-07-18"
"AVA-0018","Resolve legacy/manifest equivalence","AVA-EPIC-002","AVA-FEAT-018","AVA-STORY-018","Intelligence","Implement and verify resolve legacy/manifest equivalence without replacing working systems.","Audited S2/P1 finding AVA-018.","AVA-018","Preserve canonical architecture; no unrelated scope expansion.","See feature-specific audit and repository inventory","AVA-0017","","Shadow thresholds and rollback pass","Relevant unit/contract tests;Integration or environment evidence required by definition of complete","Update tracker evidence and affected runbook/architecture document","Review","Direct","None","Feature flag or staged rollout when behavior changes","Document rollback before deployment","P1","S2","L","Medium","In Progress","Native vertical slice","SPRINT-06","M2","false","Backend Engineer","2026-07-19 Sprint 06: local shadow/rollback passes; AVA-0017 remains","2026-07-18","2026-07-19"
"AVA-0019","Consolidate legacy coaching thresholds","AVA-EPIC-007","AVA-FEAT-019","AVA-STORY-019","Intelligence","Implement and verify consolidate legacy coaching thresholds without replacing working systems.","Audited S2/P1 finding AVA-019.","AVA-019","Preserve canonical architecture; no unrelated scope expansion.","See feature-specific audit and repository inventory","AVA-0018","","One versioned definition per rule","Relevant unit/contract tests;Integration or environment evidence required by definition of complete","Update tracker evidence and affected runbook/architecture document","Review","Direct","None","Feature flag or staged rollout when behavior changes","Document rollback before deployment","P1","S2","L","Medium","Blocked","Scientific beta","SPRINT-06","M3","false","Backend Engineer","2026-07-19 Sprint 06: blocked pending AVA-0018 equivalence","2026-07-18","2026-07-19"
"AVA-0020","Persist training plans/revisions/events","AVA-EPIC-009","AVA-FEAT-020","AVA-STORY-020","Training","Implement and verify persist training plans/revisions/events without replacing working systems.","Audited S1/P1 finding AVA-020.","AVA-020","Preserve canonical architecture; no unrelated scope expansion.","See feature-specific audit and repository inventory","AVA-0005","","Append-only RLS store passes","Relevant unit/contract tests;Integration or environment evidence required by definition of complete","Update tracker evidence and affected runbook/architecture document","Review","None","Possible","Feature flag or staged rollout when behavior changes","Document rollback before deployment","P1","S1","XL","Medium","Deferred","Training beta","SPRINT-08","M4","false","Backend Engineer","","2026-07-18","2026-07-18"
"AVA-0021","Authorized coach training approval","AVA-EPIC-009","AVA-FEAT-021","AVA-STORY-021","Training","Implement and verify authorized coach training approval without replacing working systems.","Audited S0/P1 finding AVA-021.","AVA-021","Preserve canonical architecture; no unrelated scope expansion.","See feature-specific audit and repository inventory","AVA-0020","","No athlete activation without approval","Relevant unit/contract tests;Integration or environment evidence required by definition of complete","Update tracker evidence and affected runbook/architecture document","Review","None","Possible","Feature flag or staged rollout when behavior changes","Document rollback before deployment","P1","S0","L","Medium","Deferred","Training beta","SPRINT-08","M4","false","Backend Engineer","","2026-07-18","2026-07-18"
"AVA-0022","Native training execution/offline sync","AVA-EPIC-008","AVA-FEAT-022","AVA-STORY-022","Mobile","Implement and verify native training execution/offline sync without replacing working systems.","Audited S1/P1 finding AVA-022.","AVA-022","Preserve canonical architecture; no unrelated scope expansion.","See feature-specific audit and repository inventory","AVA-0006;AVA-0020;AVA-0021","","Stale/pain/retry device tests pass","Relevant unit/contract tests;Integration or environment evidence required by definition of complete","Update tracker evidence and affected runbook/architecture document","Review","None","None","Feature flag or staged rollout when behavior changes","Document rollback before deployment","P1","S1","XL","Medium","Deferred","Native vertical slice","SPRINT-09","M2","false","Native iOS Engineer","","2026-07-18","2026-07-18"
"AVA-0023","Safety-event ingestion/escalation","AVA-EPIC-009","AVA-FEAT-023","AVA-STORY-023","Training","Implement and verify safety-event ingestion/escalation without replacing working systems.","Audited S0/P1 finding AVA-023.","AVA-023","Preserve canonical architecture; no unrelated scope expansion.","See feature-specific audit and repository inventory","AVA-0010;AVA-0020","","Loss/duplicate tests and paging pass","Relevant unit/contract tests;Integration or environment evidence required by definition of complete","Update tracker evidence and affected runbook/architecture document","Review","None","Possible","Feature flag or staged rollout when behavior changes","Document rollback before deployment","P1","S0","L","Medium","Deferred","Training beta","SPRINT-09","M4","false","Backend Engineer","","2026-07-18","2026-07-18"
"AVA-0024","Coach/report comprehension studies","AVA-EPIC-006","AVA-FEAT-024","AVA-STORY-024","Science/UX","Implement and verify coach/report comprehension studies without replacing working systems.","Audited S1/P1 finding AVA-024.","AVA-024","Preserve canonical architecture; no unrelated scope expansion.","See feature-specific audit and repository inventory","AVA-0014;AVA-0017","","Prespecified thresholds pass","Relevant unit/contract tests;Integration or environment evidence required by definition of complete","Update tracker evidence and affected runbook/architecture document","Review","Direct","None","Feature flag or staged rollout when behavior changes","Document rollback before deployment","P1","S1","XL","Medium","Blocked","Scientific beta","SPRINT-07","M3","true","Data or Scientific Engineer","","2026-07-18","2026-07-18"
"AVA-0025","Device/accessibility matrix","AVA-EPIC-008","AVA-FEAT-025","AVA-STORY-025","iOS","Implement and verify device/accessibility matrix without replacing working systems.","Audited S2/P1 finding AVA-025.","AVA-025","Preserve canonical architecture; no unrelated scope expansion.","See feature-specific audit and repository inventory","AVA-0007","","Supported devices, VoiceOver, Dynamic Type","Relevant unit/contract tests;Integration or environment evidence required by definition of complete","Update tracker evidence and affected runbook/architecture document","Review","None","None","Feature flag or staged rollout when behavior changes","Document rollback before deployment","P1","S2","L","Medium","Blocked","Native vertical slice","SPRINT-04","M2","true","Native iOS Engineer","2026-07-18 Sprint 04: preparation audited; simulator/physical-device accessibility evidence unavailable","2026-07-18","2026-07-18"
"AVA-0026","Resumable/idempotent uploads","AVA-EPIC-004","AVA-FEAT-026","AVA-STORY-026","Upload","Implement and verify resumable/idempotent uploads without replacing working systems.","Audited S2/P1 finding AVA-026.","AVA-026","Preserve canonical architecture; no unrelated scope expansion.","See feature-specific audit and repository inventory","AVA-0006","","Kill/relaunch/network-loss recovery","Relevant unit/contract tests;Integration or environment evidence required by definition of complete","Update tracker evidence and affected runbook/architecture document","Direct","None","None","Feature flag or staged rollout when behavior changes","Document rollback before deployment","P1","S2","L","Medium","In Progress","Native vertical slice","SPRINT-05","M2","false","Backend Engineer","2026-07-19 Sprint 05: persisted/idempotent/retry/progress/cancellation foundation and 24 Swift tests pass; live recovery remains","2026-07-18","2026-07-19"
"AVA-0027","Storage lifecycle/orphan reconciliation","AVA-EPIC-004","AVA-FEAT-027","AVA-STORY-027","Storage","Implement and verify storage lifecycle/orphan reconciliation without replacing working systems.","Audited S1/P1 finding AVA-027.","AVA-027","Preserve canonical architecture; no unrelated scope expansion.","See feature-specific audit and repository inventory","AVA-0012;AVA-0026","","Zero unexplained orphan classes","Relevant unit/contract tests;Integration or environment evidence required by definition of complete","Update tracker evidence and affected runbook/architecture document","Review","None","None","Feature flag or staged rollout when behavior changes","Document rollback before deployment","P1","S1","M","Medium","In Progress","Native vertical slice","SPRINT-05","M2","false","Backend Engineer","2026-07-19 Sprint 05: account-scoped reconciliation and 12 DB assertions pass; deployed zero-orphan proof remains","2026-07-18","2026-07-19"
"AVA-0028","Worker termination/concurrency/load tests","AVA-EPIC-005","AVA-FEAT-028","AVA-STORY-028","Worker","Implement and verify worker termination/concurrency/load tests without replacing working systems.","Audited S2/P1 finding AVA-028.","AVA-028","Preserve canonical architecture; no unrelated scope expansion.","See feature-specific audit and repository inventory","AVA-0009;AVA-0010","","Lease/retry/SLO targets pass","Relevant unit/contract tests;Integration or environment evidence required by definition of complete","Update tracker evidence and affected runbook/architecture document","Review","None","None","Feature flag or staged rollout when behavior changes","Document rollback before deployment","P1","S2","L","Medium","Blocked","Native vertical slice","SPRINT-06","M2","true","Computer Vision Engineer","2026-07-19 Sprint 06: static lease/retry sanity passes; hosted SLO remains","2026-07-18","2026-07-19"
"AVA-0029","Operational dead-letter console/runbook","AVA-EPIC-005","AVA-FEAT-029","AVA-STORY-029","Worker","Implement and verify operational dead-letter console/runbook without replacing working systems.","Audited S2/P1 finding AVA-029.","AVA-029","Preserve canonical architecture; no unrelated scope expansion.","See feature-specific audit and repository inventory","AVA-0010;AVA-0028","","Authorized replay/audit proven","Relevant unit/contract tests;Integration or environment evidence required by definition of complete","Update tracker evidence and affected runbook/architecture document","Review","None","None","Feature flag or staged rollout when behavior changes","Document rollback before deployment","P1","S2","M","Medium","Blocked","Native vertical slice","SPRINT-06","M2","false","Computer Vision Engineer","2026-07-19 Sprint 06: local contracts exist; deployed authorized replay remains","2026-07-18","2026-07-19"
"AVA-0030","CI protected branch and required gates","AVA-EPIC-012","AVA-FEAT-030","AVA-STORY-030","CI","Implement and verify ci protected branch and required gates without replacing working systems.","Audited S1/P1 finding AVA-030.","AVA-030","Preserve canonical architecture; no unrelated scope expansion.","See feature-specific audit and repository inventory","AVA-0001","","Remote required checks observed","Relevant unit/contract tests;Integration or environment evidence required by definition of complete","Update tracker evidence and affected runbook/architecture document","Review","None","None","Feature flag or staged rollout when behavior changes","Document rollback before deployment","P1","S1","M","Medium","Blocked","Foundation","SPRINT-01","M0","true","QA Engineer","2026-07-18: local quality workflow exists, but AVA-0001 is incomplete and no remote protected-branch required-check run was observed","2026-07-18","2026-07-18"
"AVA-0031","Container/SBOM/vulnerability provenance","AVA-EPIC-012","AVA-FEAT-031","AVA-STORY-031","Supply chain","Implement and verify container/sbom/vulnerability provenance without replacing working systems.","Audited S2/P1 finding AVA-031.","AVA-031","Preserve canonical architecture; no unrelated scope expansion.","See feature-specific audit and repository inventory","AVA-0030","","Signed immutable artifact","Relevant unit/contract tests;Integration or environment evidence required by definition of complete","Update tracker evidence and affected runbook/architecture document","Direct","None","None","Feature flag or staged rollout when behavior changes","Document rollback before deployment","P1","S2","M","Medium","Blocked","Foundation","SPRINT-11","M0","true","QA Engineer","","2026-07-18","2026-07-18"
"AVA-0032","Database type/schema drift gate","AVA-EPIC-012","AVA-FEAT-032","AVA-STORY-032","Database","Implement and verify database type/schema drift gate without replacing working systems.","Audited S2/P1 finding AVA-032.","AVA-032","Preserve canonical architecture; no unrelated scope expansion.","See feature-specific audit and repository inventory","AVA-0004;AVA-0030","","Generated types clean in CI","Relevant unit/contract tests;Integration or environment evidence required by definition of complete","Update tracker evidence and affected runbook/architecture document","Review","None","Possible","Feature flag or staged rollout when behavior changes","Document rollback before deployment","P1","S2","S","Medium","Blocked","Foundation","SPRINT-01","M0","true","QA Engineer","2026-07-18: blocked by unapplied/unverified staging migrations (AVA-0004) and remote CI evidence (AVA-0030)","2026-07-18","2026-07-18"
"AVA-0033","Unified test runner/coverage taxonomy","AVA-EPIC-012","AVA-FEAT-033","AVA-STORY-033","Tests","Implement and verify unified test runner/coverage taxonomy without replacing working systems.","Audited S2/P1 finding AVA-033.","AVA-033","Preserve canonical architecture; no unrelated scope expansion.","See feature-specific audit and repository inventory","AVA-0030","","Aliases no longer inflate evidence","Relevant unit/contract tests;Integration or environment evidence required by definition of complete","Update tracker evidence and affected runbook/architecture document","Review","None","None","Feature flag or staged rollout when behavior changes","Document rollback before deployment","P1","S2","M","Medium","Ready","Foundation","SPRINT-11","M0","false","QA Engineer","","2026-07-18","2026-07-18"
"AVA-0034","Worker golden regression CI","AVA-EPIC-012","AVA-FEAT-034","AVA-STORY-034","Science","Implement and verify worker golden regression ci without replacing working systems.","Audited S1/P1 finding AVA-034.","AVA-034","Preserve canonical architecture; no unrelated scope expansion.","See feature-specific audit and repository inventory","AVA-0014;AVA-0030","","Locked output tolerance gate","Relevant unit/contract tests;Integration or environment evidence required by definition of complete","Update tracker evidence and affected runbook/architecture document","Review","Direct","None","Feature flag or staged rollout when behavior changes","Document rollback before deployment","P1","S1","L","Medium","Blocked","Foundation","SPRINT-06","M0","true","QA Engineer","2026-07-19 Sprint 06: local analysis/FPS regressions pass; locked reference gate remains","2026-07-18","2026-07-19"
"AVA-0035","CSP resource inventory and rollout","AVA-EPIC-010","AVA-FEAT-035","AVA-STORY-035","Security","Implement and verify csp resource inventory and rollout without replacing working systems.","Audited S2/P1 finding AVA-035.","AVA-035","Preserve canonical architecture; no unrelated scope expansion.","See feature-specific audit and repository inventory","AVA-0007","","Report-only then enforce","Relevant unit/contract tests;Integration or environment evidence required by definition of complete","Update tracker evidence and affected runbook/architecture document","Direct","None","None","Feature flag or staged rollout when behavior changes","Document rollback before deployment","P1","S2","M","Medium","Ready","Closed beta","SPRINT-11","M6","false","Security Engineer","","2026-07-18","2026-07-18"
"AVA-0036","Native crash reporting/symbols","AVA-EPIC-008","AVA-FEAT-036","AVA-STORY-036","iOS/Ops","Implement and verify native crash reporting/symbols without replacing working systems.","Audited S2/P1 finding AVA-036.","AVA-036","Preserve canonical architecture; no unrelated scope expansion.","See feature-specific audit and repository inventory","AVA-0008;AVA-0010","","Test crash visible","Relevant unit/contract tests;Integration or environment evidence required by definition of complete","Update tracker evidence and affected runbook/architecture document","Review","None","None","Feature flag or staged rollout when behavior changes","Document rollback before deployment","P1","S2","M","Medium","Blocked","Native vertical slice","SPRINT-04","M2","true","Native iOS Engineer","2026-07-18 Sprint 04: telemetry boundary audited; signing/collector/symbol/test-crash evidence unavailable","2026-07-18","2026-07-18"
"AVA-0037","Privacy/legal/health claim review","AVA-EPIC-010","AVA-FEAT-037","AVA-STORY-037","Legal","Implement and verify privacy/legal/health claim review without replacing working systems.","Audited S1/P0 finding AVA-037.","AVA-037","Preserve canonical architecture; no unrelated scope expansion.","See feature-specific audit and repository inventory","","Product scope","Signed approval and policy updates","Relevant unit/contract tests;Integration or environment evidence required by definition of complete","Update tracker evidence and affected runbook/architecture document","Review","None","None","Feature flag or staged rollout when behavior changes","Document rollback before deployment","P0","S1","L","Medium","Blocked","Closed beta","SPRINT-07","M6","true","Security Engineer","","2026-07-18","2026-07-18"
"AVA-0038","Incident/support ownership rehearsal","AVA-EPIC-011","AVA-FEAT-038","AVA-STORY-038","Ops","Implement and verify incident/support ownership rehearsal without replacing working systems.","Audited S1/P0 finding AVA-038.","AVA-038","Preserve canonical architecture; no unrelated scope expansion.","See feature-specific audit and repository inventory","AVA-0010;AVA-0012","","Tabletop passes","Relevant unit/contract tests;Integration or environment evidence required by definition of complete","Update tracker evidence and affected runbook/architecture document","Review","None","None","Feature flag or staged rollout when behavior changes","Document rollback before deployment","P0","S1","M","Medium","Blocked","Staging","SPRINT-02","M1","true","DevOps or Platform Engineer","2026-07-18 Sprint 02: incident plan and SLO targets reviewed; tabletop cannot pass without telemetry/on-call ownership and completed deletion controls","2026-07-18","2026-07-18"
"AVA-0039","Hide developer/experimental surfaces","AVA-EPIC-014","AVA-FEAT-039","AVA-STORY-039","Product","Implement and verify hide developer/experimental surfaces without replacing working systems.","Audited S1/P0 finding AVA-039.","AVA-039","Preserve canonical architecture; no unrelated scope expansion.","See feature-specific audit and repository inventory","","Release manifest","Production route/flag audit passes","Relevant unit/contract tests;Integration or environment evidence required by definition of complete","Update tracker evidence and affected runbook/architecture document","Review","None","None","Feature flag or staged rollout when behavior changes","Document rollback before deployment","P0","S1","S","Medium","Verified Complete","Closed beta","SPRINT-01","M6","false","Product or Operations Lead","2026-07-18: DEC-007, config/production-surface-policy.json, canonical feature-loader enforcement, release-surfaces sanity, production build and 13-pass Playwright route regression","2026-07-18","2026-07-18"
